step: 20, lr: 0.000998, cost: 1.0722, recon: 1.0722, train_time_taken: 64.5813
step: 40, lr: 0.000996, cost: 0.9996, recon: 0.9996, train_time_taken: 58.3429
step: 60, lr: 0.000994, cost: 1.0062, recon: 1.0062, train_time_taken: 60.1031
step: 80, lr: 0.000992, cost: 0.9485, recon: 0.9485, train_time_taken: 56.4894
step: 100, lr: 0.000990, cost: 0.9827, recon: 0.9827, train_time_taken: 62.1511
step: 120, lr: 0.000988, cost: 0.7767, recon: 0.7767, train_time_taken: 56.3410
step: 140, lr: 0.000986, cost: 0.7321, recon: 0.7321, train_time_taken: 58.6897
step: 160, lr: 0.000984, cost: 0.6509, recon: 0.6509, train_time_taken: 60.1136
step: 180, lr: 0.000982, cost: 0.5571, recon: 0.5571, train_time_taken: 55.2303
step: 200, lr: 0.000980, cost: 0.4558, recon: 0.4558, train_time_taken: 56.6280
step: 220, lr: 0.000978, cost: 0.4422, recon: 0.4422, train_time_taken: 54.9726
step: 240, lr: 0.000977, cost: 0.3892, recon: 0.3892, train_time_taken: 59.8283
step: 260, lr: 0.000975, cost: 0.3819, recon: 0.3819, train_time_taken: 56.0725
step: 280, lr: 0.000973, cost: 0.3543, recon: 0.3543, train_time_taken: 57.6858
step: 300, lr: 0.000971, cost: 0.3863, recon: 0.3863, train_time_taken: 57.6046
step: 320, lr: 0.000969, cost: 0.2759, recon: 0.2759, train_time_taken: 55.1887
step: 340, lr: 0.000967, cost: 0.3322, recon: 0.3322, train_time_taken: 61.8022
step: 360, lr: 0.000965, cost: 0.3033, recon: 0.3033, train_time_taken: 55.9677
step: 380, lr: 0.000963, cost: 0.2934, recon: 0.2934, train_time_taken: 54.4965
step: 400, lr: 0.000961, cost: 0.3127, recon: 0.3127, train_time_taken: 58.0888
step: 420, lr: 0.000959, cost: 0.2998, recon: 0.2998, train_time_taken: 59.6847
step: 440, lr: 0.000957, cost: 0.2557, recon: 0.2557, train_time_taken: 62.0572
step: 460, lr: 0.000955, cost: 0.2955, recon: 0.2955, train_time_taken: 58.8413
step: 480, lr: 0.000954, cost: 0.2165, recon: 0.2165, train_time_taken: 55.8589
step: 500, lr: 0.000952, cost: 0.2804, recon: 0.2804, train_time_taken: 56.4903
step: 520, lr: 0.000950, cost: 0.2377, recon: 0.2377, train_time_taken: 57.0797
step: 540, lr: 0.000948, cost: 0.2508, recon: 0.2508, train_time_taken: 57.5102
step: 560, lr: 0.000946, cost: 0.2547, recon: 0.2547, train_time_taken: 55.1803
step: 580, lr: 0.000944, cost: 0.2470, recon: 0.2470, train_time_taken: 55.9200
step: 600, lr: 0.000942, cost: 0.2412, recon: 0.2412, train_time_taken: 54.7705
step: 620, lr: 0.000940, cost: 0.2236, recon: 0.2236, train_time_taken: 53.5574
step: 640, lr: 0.000939, cost: 0.2550, recon: 0.2550, train_time_taken: 56.0178
step: 660, lr: 0.000937, cost: 0.2355, recon: 0.2355, train_time_taken: 57.4674
step: 680, lr: 0.000935, cost: 0.2025, recon: 0.2025, train_time_taken: 53.1473
step: 700, lr: 0.000933, cost: 0.1982, recon: 0.1982, train_time_taken: 57.9230
step: 720, lr: 0.000931, cost: 0.1915, recon: 0.1915, train_time_taken: 54.5047
step: 740, lr: 0.000929, cost: 0.2407, recon: 0.2407, train_time_taken: 54.3613
step: 760, lr: 0.000928, cost: 0.2601, recon: 0.2601, train_time_taken: 56.7898
step: 780, lr: 0.000926, cost: 0.1997, recon: 0.1997, train_time_taken: 55.7092
step: 800, lr: 0.000924, cost: 0.2587, recon: 0.2587, train_time_taken: 57.8815
step: 820, lr: 0.000922, cost: 0.1948, recon: 0.1948, train_time_taken: 56.1953
step: 840, lr: 0.000920, cost: 0.2344, recon: 0.2344, train_time_taken: 53.4592
step: 860, lr: 0.000918, cost: 0.1989, recon: 0.1989, train_time_taken: 54.3486
step: 880, lr: 0.000917, cost: 0.2048, recon: 0.2048, train_time_taken: 57.3525
step: 900, lr: 0.000915, cost: 0.2002, recon: 0.2002, train_time_taken: 56.8541
step: 920, lr: 0.000913, cost: 0.1653, recon: 0.1653, train_time_taken: 55.9994
step: 940, lr: 0.000911, cost: 0.1858, recon: 0.1858, train_time_taken: 55.1719
step: 960, lr: 0.000909, cost: 0.1998, recon: 0.1998, train_time_taken: 61.1797
step: 980, lr: 0.000908, cost: 0.1764, recon: 0.1764, train_time_taken: 57.4358
step: 1000, lr: 0.000906, cost: 0.1678, recon: 0.1678, train_time_taken: 55.0021
step: 1020, lr: 0.000904, cost: 0.1933, recon: 0.1933, train_time_taken: 57.8142
step: 1040, lr: 0.000902, cost: 0.2156, recon: 0.2156, train_time_taken: 52.5568
step: 1060, lr: 0.000900, cost: 0.1413, recon: 0.1413, train_time_taken: 56.0546
step: 1080, lr: 0.000899, cost: 0.1828, recon: 0.1828, train_time_taken: 57.5157
step: 1100, lr: 0.000897, cost: 0.1237, recon: 0.1237, train_time_taken: 55.8199
step: 1120, lr: 0.000895, cost: 0.1731, recon: 0.1731, train_time_taken: 53.7291
step: 1140, lr: 0.000893, cost: 0.1882, recon: 0.1882, train_time_taken: 57.3999
step: 1160, lr: 0.000892, cost: 0.1174, recon: 0.1174, train_time_taken: 55.6182
step: 1180, lr: 0.000890, cost: 0.1692, recon: 0.1692, train_time_taken: 56.8148
step: 1200, lr: 0.000888, cost: 0.1460, recon: 0.1460, train_time_taken: 56.7990
step: 1220, lr: 0.000886, cost: 0.2036, recon: 0.2036, train_time_taken: 54.3574
step: 1240, lr: 0.000885, cost: 0.1242, recon: 0.1242, train_time_taken: 52.3634
step: 1260, lr: 0.000883, cost: 0.1545, recon: 0.1545, train_time_taken: 56.0950
step: 1280, lr: 0.000881, cost: 0.1881, recon: 0.1881, train_time_taken: 57.6168
step: 1300, lr: 0.000879, cost: 0.1571, recon: 0.1571, train_time_taken: 55.9944
step: 1320, lr: 0.000878, cost: 0.1630, recon: 0.1630, train_time_taken: 56.8948
