step: 20, lr: 0.000998, cost: 1.5239, recon: 1.5239, train_time_taken: 80.0586
step: 40, lr: 0.000996, cost: 1.3473, recon: 1.3473, train_time_taken: 76.4907
step: 60, lr: 0.000994, cost: 1.0537, recon: 1.0537, train_time_taken: 73.9384
step: 80, lr: 0.000992, cost: 1.0590, recon: 1.0590, train_time_taken: 71.9607
step: 100, lr: 0.000990, cost: 0.8622, recon: 0.8622, train_time_taken: 72.4406
step: 120, lr: 0.000988, cost: 1.0265, recon: 1.0265, train_time_taken: 74.1088
step: 140, lr: 0.000986, cost: 0.9013, recon: 0.9013, train_time_taken: 70.6875
step: 160, lr: 0.000984, cost: 0.8968, recon: 0.8968, train_time_taken: 72.5407
step: 180, lr: 0.000982, cost: 0.8533, recon: 0.8533, train_time_taken: 76.7213
step: 200, lr: 0.000980, cost: 0.8174, recon: 0.8174, train_time_taken: 72.5903
step: 220, lr: 0.000978, cost: 0.8102, recon: 0.8102, train_time_taken: 73.0925
step: 240, lr: 0.000977, cost: 0.7948, recon: 0.7948, train_time_taken: 70.9296
step: 260, lr: 0.000975, cost: 0.7959, recon: 0.7959, train_time_taken: 71.5258
step: 280, lr: 0.000973, cost: 0.7760, recon: 0.7760, train_time_taken: 70.4073
step: 300, lr: 0.000971, cost: 0.7278, recon: 0.7278, train_time_taken: 71.0897
step: 320, lr: 0.000969, cost: 0.7239, recon: 0.7239, train_time_taken: 72.2177
step: 340, lr: 0.000967, cost: 0.6528, recon: 0.6528, train_time_taken: 72.1172
step: 360, lr: 0.000965, cost: 0.5854, recon: 0.5854, train_time_taken: 73.3094
step: 380, lr: 0.000963, cost: 0.6276, recon: 0.6276, train_time_taken: 72.6845
step: 400, lr: 0.000961, cost: 0.5215, recon: 0.5215, train_time_taken: 72.5509
step: 420, lr: 0.000959, cost: 0.4538, recon: 0.4538, train_time_taken: 70.1175
step: 440, lr: 0.000957, cost: 0.4653, recon: 0.4653, train_time_taken: 70.4983
step: 460, lr: 0.000955, cost: 0.4275, recon: 0.4275, train_time_taken: 73.8705
step: 480, lr: 0.000954, cost: 0.4625, recon: 0.4625, train_time_taken: 70.6151
step: 500, lr: 0.000952, cost: 0.4048, recon: 0.4048, train_time_taken: 73.1226
step: 520, lr: 0.000950, cost: 0.4174, recon: 0.4174, train_time_taken: 72.6560
step: 540, lr: 0.000948, cost: 0.3838, recon: 0.3838, train_time_taken: 71.3217
step: 560, lr: 0.000946, cost: 0.4179, recon: 0.4179, train_time_taken: 74.4244
step: 580, lr: 0.000944, cost: 0.3806, recon: 0.3806, train_time_taken: 69.7686
step: 600, lr: 0.000942, cost: 0.3730, recon: 0.3730, train_time_taken: 71.8908
step: 620, lr: 0.000940, cost: 0.3920, recon: 0.3920, train_time_taken: 70.8218
step: 640, lr: 0.000939, cost: 0.3614, recon: 0.3614, train_time_taken: 69.9260
step: 660, lr: 0.000937, cost: 0.3894, recon: 0.3894, train_time_taken: 71.1370
step: 680, lr: 0.000935, cost: 0.3457, recon: 0.3457, train_time_taken: 74.7295
step: 700, lr: 0.000933, cost: 0.3471, recon: 0.3471, train_time_taken: 72.6761
step: 720, lr: 0.000931, cost: 0.3283, recon: 0.3283, train_time_taken: 72.1742
step: 740, lr: 0.000929, cost: 0.3512, recon: 0.3512, train_time_taken: 69.3075
step: 760, lr: 0.000928, cost: 0.3155, recon: 0.3155, train_time_taken: 71.0741
step: 780, lr: 0.000926, cost: 0.3600, recon: 0.3600, train_time_taken: 72.2778
step: 800, lr: 0.000924, cost: 0.2966, recon: 0.2966, train_time_taken: 71.6614
step: 820, lr: 0.000922, cost: 0.3349, recon: 0.3349, train_time_taken: 69.5126
step: 840, lr: 0.000920, cost: 0.3473, recon: 0.3473, train_time_taken: 74.1419
step: 860, lr: 0.000918, cost: 0.3221, recon: 0.3221, train_time_taken: 71.0458
step: 880, lr: 0.000917, cost: 0.3020, recon: 0.3020, train_time_taken: 70.8156
step: 900, lr: 0.000915, cost: 0.3393, recon: 0.3393, train_time_taken: 80.0832
step: 920, lr: 0.000913, cost: 0.3390, recon: 0.3390, train_time_taken: 67.6611
step: 940, lr: 0.000911, cost: 0.2962, recon: 0.2962, train_time_taken: 68.4750
step: 960, lr: 0.000909, cost: 0.2950, recon: 0.2950, train_time_taken: 75.0839
step: 980, lr: 0.000908, cost: 0.2939, recon: 0.2939, train_time_taken: 72.4263
step: 1000, lr: 0.000906, cost: 0.3236, recon: 0.3236, train_time_taken: 67.1531
