INFO:tensorflow:step: 20, lr: 0.000998, klw: 0.0110, cost: 1.3641, recon: 1.3382, kl: 2.3555, train_time_taken: 11.4391
INFO:tensorflow:step: 40, lr: 0.000996, klw: 0.0120, cost: 1.0015, recon: 0.9630, kl: 3.2233, train_time_taken: 9.3255
INFO:tensorflow:step: 60, lr: 0.000995, klw: 0.0129, cost: 0.8019, recon: 0.7819, kl: 1.5478, train_time_taken: 9.2092
INFO:tensorflow:step: 80, lr: 0.000993, klw: 0.0139, cost: 0.7324, recon: 0.7081, kl: 1.7487, train_time_taken: 9.0567
INFO:tensorflow:step: 100, lr: 0.000991, klw: 0.0149, cost: 0.8509, recon: 0.8231, kl: 1.8662, train_time_taken: 9.0966
INFO:tensorflow:step: 120, lr: 0.000989, klw: 0.0158, cost: 0.6417, recon: 0.6124, kl: 1.8468, train_time_taken: 9.1204
INFO:tensorflow:step: 140, lr: 0.000987, klw: 0.0168, cost: 0.6575, recon: 0.6262, kl: 1.8628, train_time_taken: 9.0174
INFO:tensorflow:step: 160, lr: 0.000986, klw: 0.0178, cost: 0.5928, recon: 0.5598, kl: 1.8575, train_time_taken: 9.0153
INFO:tensorflow:step: 180, lr: 0.000984, klw: 0.0187, cost: 0.5537, recon: 0.5187, kl: 1.8664, train_time_taken: 8.9656
INFO:tensorflow:step: 200, lr: 0.000982, klw: 0.0197, cost: 0.5149, recon: 0.4791, kl: 1.8163, train_time_taken: 9.0347
INFO:tensorflow:step: 220, lr: 0.000980, klw: 0.0207, cost: 0.4402, recon: 0.4024, kl: 1.8264, train_time_taken: 8.8352
INFO:tensorflow:step: 240, lr: 0.000979, klw: 0.0216, cost: 0.4725, recon: 0.4345, kl: 1.7558, train_time_taken: 8.7736
INFO:tensorflow:step: 260, lr: 0.000977, klw: 0.0226, cost: 0.4605, recon: 0.4207, kl: 1.7631, train_time_taken: 8.9881
INFO:tensorflow:step: 280, lr: 0.000975, klw: 0.0235, cost: 0.4085, recon: 0.3685, kl: 1.6976, train_time_taken: 8.9586
INFO:tensorflow:step: 300, lr: 0.000973, klw: 0.0245, cost: 0.4178, recon: 0.3787, kl: 1.5979, train_time_taken: 8.8626
INFO:tensorflow:step: 320, lr: 0.000972, klw: 0.0254, cost: 0.4669, recon: 0.4243, kl: 1.6736, train_time_taken: 8.7344
INFO:tensorflow:step: 340, lr: 0.000970, klw: 0.0264, cost: 0.4386, recon: 0.3976, kl: 1.5532, train_time_taken: 8.6578
INFO:tensorflow:step: 360, lr: 0.000968, klw: 0.0273, cost: 0.4538, recon: 0.4108, kl: 1.5742, train_time_taken: 8.6224
INFO:tensorflow:step: 380, lr: 0.000966, klw: 0.0283, cost: 0.3794, recon: 0.3351, kl: 1.5651, train_time_taken: 8.6878
INFO:tensorflow:step: 400, lr: 0.000965, klw: 0.0292, cost: 0.4116, recon: 0.3672, kl: 1.5189, train_time_taken: 8.7861
INFO:tensorflow:step: 420, lr: 0.000963, klw: 0.0302, cost: 0.3976, recon: 0.3527, kl: 1.4890, train_time_taken: 8.7637
INFO:tensorflow:step: 440, lr: 0.000961, klw: 0.0311, cost: 0.3965, recon: 0.3523, kl: 1.4216, train_time_taken: 8.7873
INFO:tensorflow:step: 460, lr: 0.000960, klw: 0.0320, cost: 0.3764, recon: 0.3321, kl: 1.3843, train_time_taken: 8.6389
INFO:tensorflow:step: 480, lr: 0.000958, klw: 0.0330, cost: 0.4257, recon: 0.3770, kl: 1.4788, train_time_taken: 8.7401
INFO:tensorflow:step: 500, lr: 0.000956, klw: 0.0339, cost: 0.3839, recon: 0.3380, kl: 1.3544, train_time_taken: 8.4715
INFO:tensorflow:step: 520, lr: 0.000954, klw: 0.0348, cost: 0.3774, recon: 0.3296, kl: 1.3728, train_time_taken: 8.4953
INFO:tensorflow:step: 540, lr: 0.000953, klw: 0.0358, cost: 0.3273, recon: 0.2799, kl: 1.3239, train_time_taken: 8.5177
INFO:tensorflow:step: 560, lr: 0.000951, klw: 0.0367, cost: 0.3627, recon: 0.3113, kl: 1.4018, train_time_taken: 8.6861
INFO:tensorflow:step: 580, lr: 0.000949, klw: 0.0376, cost: 0.3655, recon: 0.3166, kl: 1.3004, train_time_taken: 8.5653
INFO:tensorflow:step: 600, lr: 0.000948, klw: 0.0385, cost: 0.3380, recon: 0.2889, kl: 1.2756, train_time_taken: 8.5536
INFO:tensorflow:step: 620, lr: 0.000946, klw: 0.0395, cost: 0.2816, recon: 0.2317, kl: 1.2630, train_time_taken: 8.3638
INFO:tensorflow:step: 640, lr: 0.000944, klw: 0.0404, cost: 0.2836, recon: 0.2336, kl: 1.2368, train_time_taken: 8.5506
INFO:tensorflow:step: 660, lr: 0.000943, klw: 0.0413, cost: 0.3990, recon: 0.3468, kl: 1.2624, train_time_taken: 8.4435
